Country,Time difference,Column1,Column2,{,Column3,"key:""Bangladesh"", value:""6","key:""Bangladesh"", value:""7","key:""Bangladesh"", value:""8"
Bangladesh,6,"Bangladesh: 6,","Bangladesh: 6,","{Bangladesh: 6,","key:Bangladesh, value:6","key:Bangladesh, value:6","""","key:""Bangladesh, value:""6"""
Burkina Faso,0,"Burkina Faso: 0,","Burkina Faso: 0,","{Bangladesh: 6,Burkina Faso: 0,","key:Burkina Faso, value:0","key:Burkina Faso, value:0","""","key:""Burkina Faso, value:""0"""
Colorado,-7,"Colorado: -7,","Colorado: -7,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,","key:Colorado, value:-7","key:Colorado, value:-7","""","key:""Colorado, value:""-7"""
Ethiopia,3,"Ethiopia: 3,","Ethiopia: 3,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,","key:Ethiopia, value:3","key:Ethiopia, value:3","""","key:""Ethiopia, value:""3"""
Ghana,0,"Ghana: 0,","Ghana: 0,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,","key:Ghana, value:0","key:Ghana, value:0","""","key:""Ghana, value:""0"""
India,5.5,"India: 5.5,","India: 5.5,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,","key:India, value:5.5","key:India, value:5.5","""","key:""India, value:""5.5"""
Kenya,3,"Kenya: 3,","Kenya: 3,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,","key:Kenya, value:3","key:Kenya, value:3","""","key:""Kenya, value:""3"""
Lesotho,2,"Lesotho: 2,","Lesotho: 2,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,","key:Lesotho, value:2","key:Lesotho, value:2","""","key:""Lesotho, value:""2"""
Liberia,0,"Liberia: 0,","Liberia: 0,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,","key:Liberia, value:0","key:Liberia, value:0","""","key:""Liberia, value:""0"""
Madagascar,3,"Madagascar: 3,","Madagascar: 3,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,","key:Madagascar, value:3","key:Madagascar, value:3","""","key:""Madagascar, value:""3"""
Malawi,2,"Malawi: 2,","Malawi: 2,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,","key:Malawi, value:2","key:Malawi, value:2","""","key:""Malawi, value:""2"""
Mali,0,"Mali: 0,","Mali: 0,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,","key:Mali, value:0","key:Mali, value:0","""","key:""Mali, value:""0"""
Melbourne,11,"Melbourne: 11,","Melbourne: 11,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,Melbourne: 11,","key:Melbourne, value:11","key:Melbourne, value:11","""","key:""Melbourne, value:""11"""
Mozambique,2,"Mozambique: 2,","Mozambique: 2,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,Melbourne: 11,Mozambique: 2,","key:Mozambique, value:2","key:Mozambique, value:2","""","key:""Mozambique, value:""2"""
Nepal,5.75,"Nepal: 5.75,","Nepal: 5.75,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,Melbourne: 11,Mozambique: 2,Nepal: 5.75,","key:Nepal, value:5.75","key:Nepal, value:5.75","""","key:""Nepal, value:""5.75"""
New York,-5,"New York: -5,","New York: -5,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,Melbourne: 11,Mozambique: 2,Nepal: 5.75,New York: -5,","key:New York, value:-5","key:New York, value:-5","""","key:""New York, value:""-5"""
Niger,1,"Niger: 1,","Niger: 1,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,Melbourne: 11,Mozambique: 2,Nepal: 5.75,New York: -5,Niger: 1,","key:Niger, value:1","key:Niger, value:1","""","key:""Niger, value:""1"""
Nigeria,1,"Nigeria: 1,","Nigeria: 1,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,Melbourne: 11,Mozambique: 2,Nepal: 5.75,New York: -5,Niger: 1,Nigeria: 1,","key:Nigeria, value:1","key:Nigeria, value:1","""","key:""Nigeria, value:""1"""
Pakistan,5,"Pakistan: 5,","Pakistan: 5,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,Melbourne: 11,Mozambique: 2,Nepal: 5.75,New York: -5,Niger: 1,Nigeria: 1,Pakistan: 5,","key:Pakistan, value:5","key:Pakistan, value:5","""","key:""Pakistan, value:""5"""
Sierra Leone,0,"Sierra Leone: 0,","Sierra Leone: 0,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,Melbourne: 11,Mozambique: 2,Nepal: 5.75,New York: -5,Niger: 1,Nigeria: 1,Pakistan: 5,Sierra Leone: 0,","key:Sierra Leone, value:0","key:Sierra Leone, value:0","""","key:""Sierra Leone, value:""0"""
South Africa,2,"South Africa: 2,","South Africa: 2,","{Bangladesh: 6,Burkina Faso: 0,Colorado: -7,Ethiopia: 3,Ghana: 0,India: 5.5,Kenya: 3,Lesotho: 2,Liberia: 0,Madagascar: 3,Malawi: 2,Mali: 0,Melbourne: 11,Mozambique: 2,Nepal: 5.75,New York: -5,Niger: 1,Nigeria: 1,Pakistan: 5,Sierra Leone: 0,South Africa: 2,","key:South Africa, value:2","key:South Africa, value:2","""","key:""South Africa, value:""2"""
